adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,budget,revenue,runtime,expected_revenue,disappointment_index,roi,release_year,release_month
False,/cFcXilLbI7yjPIYB58AZiOyUnoh.jpg,"[28, 12, 80]",47971,xXx: Return of Xander Cage,en,xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",12.4599,/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg,2017-01-13,False,False,6.133,9217,85000000,346118277,107,212500000.0,1.628791891764706,3.0719797294117646,2017,1
False,/hXsy4XCCHrUk81XoRhcooyWejao.jpg,"[35, 80]",115,The Big Lebowski,en,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",12.446,/3bv6WAp6BSxxYvB5ozKFUYuRA8C.jpg,1998-03-06,False,False,7.84,12153,15000000,47010480,117,37500000.0,1.2536128,2.134032,1998,3
False,/stmYfCUGd8Iy6kAMBr6AmWqx8Bq.jpg,"[28, 878, 35, 10751]",454626,Sonic the Hedgehog,en,Sonic the Hedgehog,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",12.4374,/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg,2020-02-12,False,False,7.285,10378,85000000,319715683,99,212500000.0,1.5045443905882352,2.761360976470588,2020,2
False,/gklkxY0veMajdCiGe6ggsh07VG2.jpg,"[10751, 35, 12, 16]",940551,Migration,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",12.4206,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,False,False,7.4,2234,72000000,298776052,83,180000000.0,1.6598669555555556,3.149667388888889,2023,12
False,/q7vmCCmyiHnuKGMzHZlr0fD44b9.jpg,"[10749, 14, 10751, 18]",150689,Cinderella,en,Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",12.4178,/j91LJmcWo16CArFOoapsz84bwxb.jpg,2015-03-06,False,False,6.824,7387,95000000,543514353,105,237500000.0,2.2884814863157894,4.721203715789474,2015,3
False,/zh6IdheEYinU4TPtorWsjx6qPQE.jpg,"[878, 10749, 35]",792307,Poor Things,en,Poor Things,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",12.4081,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,2023-12-07,False,False,7.641,5467,35000000,117607117,141,87500000.0,1.344081337142857,2.360203342857143,2023,12
False,/lV1P1Q5gLDXVG1ZYCxZHStkcQC3.jpg,"[878, 12, 53]",131631,The Hunger Games: Mockingjay - Part 1,en,The Hunger Games: Mockingjay - Part 1,"After surviving the Quarter Quell, Katniss finds herself in the hidden stronghold of District 13, where the rebellion against the Capitol is gaining momentum. Struggling with the weight of becoming the symbol of resistance, she must navigate fragile alliances while trying to protect those she loves. As propaganda battles rage and Panem moves closer to full-scale war, Katniss is forced to confront the true cost of revolution.",12.3964,/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,2014-11-19,False,False,6.8,16713,125000000,755356711,123,312500000.0,2.4171414752,5.042853688,2014,11
False,/6WA9stUMbIkEPxn3D5SWlA8FIi7.jpg,"[12, 878, 53]",351286,Jurassic World: Fallen Kingdom,en,Jurassic World: Fallen Kingdom,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",12.3199,/x2Us3jR6ToMJjbcPbLimYoxf6xr.jpg,2018-06-06,False,False,6.531,12738,170000000,1310469037,129,425000000.0,3.0834565576470587,6.708641394117647,2018,6
False,/kP6WiYHQUUXo6ZaXI06enkMsxkF.jpg,"[12, 18, 28]",246,Zatoichi,ja,座頭市,"Blind traveler Zatoichi is a master swordsman and a masseur with a fondness for gambling on dice games. When he arrives in a village torn apart by warring gangs, he sets out to protect the townspeople.",12.3101,/iCIycswWbX1EDS6PYYBcR9ohrC.jpg,2003-09-06,False,False,7.241,959,2500000,34196922,116,6250000.0,5.47150752,12.6787688,2003,9
False,/keIxh0wPr2Ymj0Btjh4gW7JJ89e.jpg,"[28, 12, 878]",497698,Black Widow,en,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",12.2875,/7JPpIjhD2V0sKyFvhB9khUMa30d.jpg,2021-07-07,False,False,7.169,11221,200000000,379751131,134,500000000.0,0.759502262,0.898755655,2021,7
